surface,canonical_path,excluded_alternatives,reason,supporting_report_or_manifest,safe_for_github,portability_action
dataset loaders,"data/datasets/*.py; data/dataset.py; data/README.md","data/raw/**; .claude/worktrees/**/data/**; backup copies","Current unified loaders plus the documented legacy Elliptic loader; raw dataset payloads are never source artifacts.","AGENTS.md; data/datasets/__init__.py; scripts/smoke_test.py",yes,"Use repository-relative data roots and fail loudly when external data is absent."
graph builders,"data/graph_builder.py; data/feature_scaling.py","backup/worktree copies; generated graph payloads","Active imports and tests cover graph construction and train-only feature scaling.","tests/test_feature_scaling.py; tests/test_inductive_isolated_protocol.py",yes,"No broad refactor."
model implementations,"models/*.py; models/registry.py","backup copies; historical bundled source ZIPs","The registry is the current factory; legacy models remain required for original-paper reproduction and modern/temporal modules are explicitly registered.","AGENTS.md; tests/test_registry.py; scripts/smoke_test.py",yes,"Exclude checkpoints and generated binaries."
training and evaluation runners,"experiments/*.py; train.py; train_proper.py; run_full_upgrade.sh; run_overnight.sh","Kaggle output directories; historical backups; generated prompt packs","Current runners preserve both the legacy reproduction path and the multi-dataset/temporal scaffold.","AGENTS.md; README.md; experiments/_multi_harness.py",yes,"Document GPU/data tiers; CI never trains."
deployment protocol definitions,"fraudshiftbench/protocols.py; models/protocol_theory.py; experiments/run_protocol_phase_diagram.py","draft prose-only protocol definitions in superseded manuscripts","These are the executable contract and analytic protocol surfaces.","tests/test_fraudshiftbench_protocols.py; tests/test_protocol_theory.py",yes,"Keep repository-relative outputs."
metric implementations,"fraudshiftbench/metrics.py; utils/metrics.py","copied package snapshots; notebook-local metric cells","The framework metrics and legacy positive-class metric implementation serve distinct current paths.","tests/test_fraudshiftbench_metrics.py; AGENTS.md label convention",yes,"No numerical changes."
review-budget analysis,"scripts/tkde_rebuild/compute_analysis.py; results/tkde_rebuild/REVIEW_BUDGET_CURVES.csv","raw prediction exports; intermediate RB working directories","The final TKDE analysis computes bounded review-budget summaries from frozen inputs.","results/tkde_rebuild/COMMAND_LOG.md; NUMBER_PROVENANCE_MAP.csv",yes,"Publish aggregates and provenance only."
statistical analysis,"scripts/tkde_rebuild/compute_analysis.py; results/tkde_rebuild/IBM_MATCHED_ABLATION_EFFECTS.csv; results/tkde_rebuild/GRAPHSAFE_PAIRED_VS_SIMPLE_AVERAGE.csv","older context-row inference and superseded drafts","The final script implements the repaired seed-blocked inferential unit and frozen multiplicity families.","results/tkde_rebuild/COMMAND_LOG.md; FINAL_TKDE_READINESS_REPORT.md",yes,"Do not rerun evidence reconstruction during curation."
evidence inventory,"scripts/tkde_rebuild/build_evidence_inventory.py; results/tkde_rebuild/EVIDENCE_INVENTORY.csv","results/runs/** raw payloads; historical inventory copies","The machine-readable 247-record inventory is the final evidence authority.","results/tkde_rebuild/COMMAND_LOG.md; FROZEN_SCIENTIFIC_INPUT_HASHES.csv",yes,"Include only safe locks and aggregate inputs required by the frozen closure."
claim ledger,"scripts/tkde_rebuild/build_claim_ledger.py; results/tkde_rebuild/CLAIM_EVIDENCE_LEDGER.csv","runs_paper/CLAIM_STATUS.md; earlier venue claim tables","The frozen ledger preserves all 22 typed claims, scopes, statuses, permitted wording, and prohibited generalizations.","results/tkde_rebuild/CLAIM_EVIDENCE_LEDGER.md; FROZEN_SCIENTIFIC_INPUT_HASHES.csv",yes,"No claim or status changes."
