claim_id,scope,status,required_evidence,permitted_wording,prohibited_wording
ICLR-C01,formal two-contract risk model,SUPPORTED_THEORETICALLY,proved fixed-mixture theorem,"A contract-independent randomized selector has positive minimax regret under the stated crossing assumptions","All fixed prediction mixtures always fail"
ICLR-C02,axis-additive risk class,SUPPORTED_THEORETICALLY,proved compositional bound,"The excess-risk bound separates axis estimation interaction and router terms","CoReGraph guarantees OOD performance without assumptions"
ICLR-C03,method implementation,SUPPORTED,unit tests and smoke run,"CoReGraph implements factorised masked resource-aware routing","CoReGraph empirically improves fraud detection"
ICLR-C04,Elliptic and DGraphFin held-out contracts,CLAIM_BLOCKED_PENDING_EVIDENCE,ten-seed predictions and paired analysis,"RESULT_PENDING","CoReGraph wins on real fraud datasets"
ICLR-C05,worst-contract AUPRC,CLAIM_BLOCKED_PENDING_EVIDENCE,final grid and Holm family,"TABLE_PENDING_RUNS","state-of-the-art worst-contract performance"
ICLR-C06,worst-contract Recall@1%,CLAIM_BLOCKED_PENDING_EVIDENCE,final grid and budget audit,"TABLE_PENDING_RUNS","operationally superior"
ICLR-C07,Brier contract regret,CLAIM_BLOCKED_PENDING_EVIDENCE,contract-level feasible Brier oracle and dataset-stratified matched expert-seed blocks,"RESULT_PENDING","near-oracle routing, instance-oracle parity, or cross-loss regret comparison"
ICLR-C08,unseen contract combinations,CLAIM_BLOCKED_PENDING_EVIDENCE,held-out combination split,"RESULT_PENDING","compositional generalisation demonstrated"
ICLR-C09,resource-aware utility,CLAIM_BLOCKED_PENDING_EVIDENCE,measured telemetry and resource masks,"RESULT_PENDING","compute-efficient"
ICLR-C10,routing stability,CLAIM_BLOCKED_PENDING_EVIDENCE,predeclared perturbation analysis,"RESULT_PENDING","stable routing"
ICLR-C11,synthetic mechanisms,CLAIM_BLOCKED_PENDING_EVIDENCE,declared five- and ten-seed synthetic grid,"illustrative controlled mechanism only","synthetic fraud realism"
ICLR-C12,official baseline comparison,RESOURCE_BLOCKED,licence-cleared pinned smoke-tested baselines,"Baseline coverage is bounded by explicit licence and task constraints","GraphMETRO or EERM result ordering while blocked"
