object_id,object_type,latex_label,caption_title,document,current_pdf_page,final_disposition,final_destination,planned_replacement,source_data_files,provenance_checksum_record
M-F01,figure,fig:deployment-contract,Deployment-contract framework,main,4,REDESIGN,main,Compact six-coordinate band plus minimal contract-to-evidence-to-claim flow and labeled status key.,results/tkde_rebuild/DEPLOYMENT_CONTRACT_AXES.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
M-F02,figure,fig:protocol-effects,Protocol and architecture sensitivity,main,8,KEEP_WITH_MINOR_EDIT,main,"Retain forest/slope structure with 8 pt typography, redundant markers, and tighter caption.",results/tkde_rebuild/RB09_AUPRC_MAIN.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
M-F03,figure,fig:ibm-results,"IBM metric, scale, and construction grid",main,10,REPLACE_WITH_DIFFERENT_VISUAL_FORM,main,Readable two-panel IBM baseline-family AUPRC comparison; construction effects move to the matched multi-metric figure/table.,results/tkde_rebuild/IBM_CELL_SUMMARY.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
M-F04,figure,fig:rank-divergence,Rank-versus-decision divergence,main,11,KEEP_WITH_MINOR_EDIT,main,Retain direct rank comparison with grayscale-first styling and repaired source schema.,results/tkde_rebuild/IBM_RANK_DIVERGENCE.csv; results/tkde_rebuild/IBM_METRIC_RANKS.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
M-F05,figure,fig:ablation-effects,Matched IBM construction effects,main,11,REDESIGN,main,"Two-panel multi-metric forest showing AUPRC, AUROC, and F1 deltas with significance and feasibility encoded redundantly.",results/tkde_rebuild/IBM_MATCHED_ABLATION_EFFECTS.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
M-F06,figure,fig:runtime-pareto,Runtime and resource Pareto view,main,12,REDESIGN,main,"Grayscale-first four-cell Pareto view with only reference, GINE, Pareto, and blocked states emphasized.",results/tkde_rebuild/IBM_RUNTIME_FEASIBILITY.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
M-F07,figure,fig:claim-validation,Claim-support validation,main,13,REPLACE_WITH_DIFFERENT_VISUAL_FORM,main,Data-driven expected-versus-observed status matrix plus compact mutation-family counts.,results/tkde_rebuild/FRAMEWORK_VALIDATION_CASES.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
M-T01,table,tab:related-comparison,Positioning against benchmark families,main,4,REDESIGN,main,"Compact symbol matrix over temporal, graph-contract, capacity, resource, prediction, and executable-support distinctions.",code-authored; results/tkde_rebuild/LITERATURE_MATRIX.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
M-T02,table,tab:datasets,Dataset and task summary,main,6,REDESIGN,main,"Readable task-card summary with unit, temporal extent, prior, graph/features, protocol, and empirical/resource scope.",results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
M-T03,table,tab:models,Model and construction inventory,main,6,MOVE_MAIN_TO_SUPPLEMENT,supplement,Role-specific model and construction cards in the supplement; replace main float with a protocol/visibility matrix.,code-authored; results/tkde_rebuild/MODEL_CONSTRUCTION_INVENTORY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
M-T04,table,tab:rb09-effects,Paired strict-to-isolated protocol effects,main,8,REDESIGN,main,Footnotesize aligned numeric table with the same six paired effects and concise note.,results/tkde_rebuild/RB09_AUPRC_MAIN.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
M-T05,table,tab:ibm-results,IBM baseline and graph-grid results,main,9,SPLIT,main,Separate IBM baseline AUPRC table and graph-construction matched-effect table.,results/tkde_rebuild/IBM_CELL_SUMMARY.csv; results/tkde_rebuild/IBM_RANK_DIVERGENCE.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
M-T06,table,tab:resource-boundaries,Resource boundaries,main,9,REDESIGN,main,"Four-column cell, envelope, short status tag, and benchmark-treatment table.",results/tkde_rebuild/RESOURCE_BOUNDARIES.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
M-T07,table,tab:graphsafe,Bounded GraphSafe comparator,main,10,KEEP_WITH_MINOR_EDIT,main,Footnotesize compact table with shorter caption and explicit comparator boundary.,results/tkde_rebuild/GRAPHSAFE_BOUNDED_SUMMARY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
M-E01,equation,eq:eligibility,Eligibility mask and binary target,main,3,KEEP_AS_IS,main,Retain with unchanged scientific notation.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
M-E02,equation,eq:deployment-contract,Six-coordinate deployment contract,main,3,KEEP_AS_IS,main,Retain with unchanged scientific notation.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
M-E03,equation,eq:evidence-unit,Typed evidence unit,main,3,KEEP_AS_IS,main,Retain with unchanged scientific notation.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
M-E04,equation,eq:typed-claim,Typed empirical claim,main,3,KEEP_AS_IS,main,Retain with unchanged scientific notation.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
M-E05,equation,eq:sage,GraphSAGE visibility-dependent update,main,5,KEEP_AS_IS,main,Retain with unchanged scientific notation.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
M-E06,equation,eq:cost-risk,Illustrative 1:5 cost risk,main,6,KEEP_AS_IS,main,Retain with unchanged scientific notation.,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv
S-F01,figure,fig:s-contract,Repeated contract framework,supplement,4,REMOVE_REDUNDANT,artifact,Use the redesigned main figure once or replace with a text cross-reference.,paper_tkde/figures/fig01_deployment_contract.pdf,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
S-F02,figure,fig:s-protocol-effects,Repeated protocol effects,supplement,11,REMOVE_REDUNDANT,artifact,Use readable aggregate effect tables and refer to the main figure.,paper_tkde/figures/fig02_protocol_architecture_effects.pdf,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
S-F03,figure,fig:s-ibm-ablation,Repeated matched IBM ablation,supplement,20,REPLACE_WITH_DIFFERENT_VISUAL_FORM,supplement,Add a compact context-direction/heterogeneity visual if it improves the aggregate tables.,paper_tkde/figures/fig05_matched_ablation_effects.pdf,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
S-F04,figure,fig:s-review-budget,Review-budget curves,supplement,42,KEEP_WITH_MINOR_EDIT,supplement,Retain with 8 pt typography and grayscale-redundant line styles/markers.,paper_tkde/figures/fig07_review_budget_analysis.pdf,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
S-F05,figure,fig:s-framework-validation,Repeated validation flowchart,supplement,43,REMOVE_REDUNDANT,artifact,Use the complete controlled-case table; main contains the quantitative status matrix.,paper_tkde/figures/fig08_claim_support_validation.pdf,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv
S-T01,longtable,tab:s-datasets,Dataset cards,supplement,7,SPLIT,supplement,"Readable Elliptic, DGraphFin, and IBM dataset cards.",results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T02,longtable,tab:s-protocols,Protocol contracts,supplement,7,REDESIGN,supplement,Explicit label/feature/graph visibility matrix including IBM 50%/60%.,results/tkde_rebuild/PROTOCOL_DEFINITIONS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T03,longtable,tab:s-models,Model and construction inventory,supplement,9,SPLIT,supplement,"Role-specific baseline, node-GNN, edge-model, and construction cards.",results/tkde_rebuild/MODEL_CONSTRUCTION_INVENTORY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T04,longtable,tab:s-training,Optimization and selection settings,supplement,9,REDESIGN,supplement,Readable family-specific training and selection cards.,results/tkde_rebuild/TRAINING_CONFIGURATION.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T05,longtable,tab:s-rb09-seed,Complete RB09 seed rows,supplement,12,MOVE_SUPPLEMENT_TO_ARTIFACT,artifact,Completeness count and schema excerpt; exhaustive 180 rows in artifact.,results/runs_rb09v3/runs.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T06,longtable,tab:s-rb09-effects,Paired RB09 effects,supplement,14,REDESIGN,supplement,Readable aggregate effects split by metric/dataset.,results/tkde_rebuild/RB09_PROTOCOL_EFFECTS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T07,longtable,tab:s-v24-duplicate,V24 duplicate-label audit,supplement,14,KEEP_WITH_MINOR_EDIT,supplement,Compact construct-audit table with 120/240 counts.,results/tkde_rebuild/V24_DUPLICATE_STRESS_AUDIT.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T08,longtable,tab:s-v22-lanes,V22 lane completeness,supplement,15,KEEP_WITH_MINOR_EDIT,supplement,Readable lane completeness and blocked fixed-GAT row.,manuscript_assets/tables/V22_GPU_EVIDENCE_STATUS_TABLE.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
S-T09,longtable,tab:s-v22-stats,Complete V22 tests,supplement,16,MOVE_SUPPLEMENT_TO_ARTIFACT,artifact,Hypothesis-family summary; all 198 rows in artifact.,manuscript_assets/tables/V22_STAT_TESTS_FULL10.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv
