work,domain,temporal_protocols,graph_visibility_controls,graph_construction_ablations,class_prior_regimes,review_budget_metrics,resource_status_semantics,prediction_provenance,machine_checkable_claim_support,fraudshiftbench_difference
GADBench (2023),static supervised graph anomaly,limited,no,limited,imbalance-aware evaluation,no,no,benchmark code/data,no,"FraudShiftBench focuses temporal fraud contracts, decisions, resources, and scoped support."
BAG (2026),dynamic graph anomaly,yes,not fraud-specific,model/task breadth,not a central axis,no,reports scale but no blocked ordering semantics,benchmark outputs,no,Closest peer-reviewed dynamic benchmark; proposed combination remains different.
GAD in the Wild (2026),deployment graph anomaly,some deployment axes,not the proposed contract,missing-attribute/scale stress,extreme rarity,no fixed analyst contract,scale challenge,not a central contribution,no,Preprint and closest positioning threat; do not claim first realistic deployment benchmark.
TGB (2023) / TGB 2.0 (2024),temporal graph tasks,yes,task-specific inductive protocols,not fraud construction grid,no fraud-prior regimes,no,scale failures visible,standardized data/results,no,"FraudShiftBench specializes in fraud units, imbalance, graph construction, budgets, and evidence scope."
BenchTemp (2024),temporal GNN evaluation,transductive/inductive,yes,not fraud-specific,no,no,efficiency evaluation,benchmark pipeline,no,Precludes broad protocol/efficiency-first claims.
GOOD (2022),graph OOD,controlled domains,no,no,not fraud-specific,no,no,benchmark splits,no,Controlled covariate/concept shift differs from deployment visibility and analyst constraints.
DGraph (2022),real financial node anomaly,dynamic data,no systematic grid,no,rare labels/background,no,scale discussed,dataset access,no,FraudShiftBench uses DGraphFin to test contract sensitivity rather than proposing a new detector.
IBM AML-Data (2023),synthetic AML transactions,timestamps/variants,no,generator/baselines,HI/LI variants,no,dataset scale variants,data provenance,no,"FraudShiftBench treats graph construction, decisions, and blocked scale explicitly while retaining synthetic limitation."
FraudGT / directed-multigraph GNNs,financial graph models,model-specific,fixed evaluation,model-defined,imbalance present,throughput,efficiency,implementation outputs,no,FraudShiftBench evaluates conclusion sensitivity rather than claiming model novelty.
Graph Feature Preprocessor (2024),financial graph-derived features,not central,fixed,subgraph features,fraud imbalance,operational throughput,yes,experiment artifacts,no,Strong adjacent resource/baseline work; support-relation and contract combination remains distinct.
BetterBench (2024),benchmark governance,generic,generic checklist,generic,generic,generic,lifecycle practices,documentation,no per-claim validator,"FraudShiftBench instantiates an executable, typed support relation for one high-risk domain."
BenchmarkCards / Eval Factsheets,evaluation documentation,documented,documented,documented,documented,documented,documented,metadata-centric,"descriptive, not run-level completeness",FraudShiftBench builds on documentation and tests evidence completeness/status transitions.
